created,modified,id,signalman_id,status,longitude,latitude,altitude
09:27.6,09:27.6,28599,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7872736,32.0955972,48.89088428
09:33.0,09:33.0,28600,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
09:34.3,09:34.3,28601,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
09:38.7,09:38.7,28602,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78724845,32.09624338,6.179347992
09:42.6,09:42.6,28603,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7873436,32.0960578,39.64439108
09:42.9,09:42.9,28604,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
09:44.4,09:44.4,28605,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
09:53.0,09:53.0,28606,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
09:54.0,09:54.0,28607,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78776569,32.09626609,5.348049164
09:54.3,09:54.3,28608,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
09:57.6,09:57.6,28609,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7878341,32.0962353,17.92855566
10:03.1,10:03.1,28610,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
